id_instalacion,tipo_instalacion,capacidad_instalacion,rut_jefe
172,muelle,3,28673876-1
141,muelle,2,58648727-2
50,astillero,2,46531952-6
1,muelle,1,92060023-9
60,astillero,3,54121962-5
193,muelle,1,93591226-1
23,muelle,3,38578737-5
145,muelle,2,40644356-6
214,astillero,3,66714421-3
15,astillero,1,31359212-k
75,astillero,1,34823992-9
154,muelle,1,49641463-2
93,astillero,2,44372095-2
56,astillero,2,63968995-6
82,astillero,1,98357275-8
157,astillero,2,78301240-5
191,astillero,2,32359787-1
92,muelle,3,49552236-9
19,muelle,2,50942616-3
185,muelle,2,79725852-0
38,astillero,2,37797879-k
96,muelle,3,81203114-7
68,muelle,3,48592540-6
142,muelle,2,12177977-3
195,astillero,3,17611254-9
73,muelle,1,88667817-7
208,muelle,2,68147125-1
67,astillero,3,58038177-4
169,astillero,2,14495790-3
91,astillero,2,13863556-2
118,muelle,2,54546935-9
86,muelle,3,95423202-6
9,astillero,1,64367868-3
152,muelle,2,69691126-6
